idProveedor,nombre,contacto,telefono,email
1,Bebidas Andinas SAC,Pedro Sánchez,964-550-143,pedro.sánchez@bebidas.com
2,Verduras Orgánicas del Valle,Elena López,947-383-875,elena.lópez@verduras.com
3,Aceites del Mediterráneo SL,Elena López,941-415-672,elena.lópez@aceites.com
4,Verduras Orgánicas del Valle,Javier Gutiérrez,968-589-481,javier.gutiérrez@verduras.com
5,Panadería Artesanal Hermanos Ruiz,Fernando Díaz,939-205-889,fernando.díaz@panadería.com
6,Quesos Manchegos SA,Carlos Rojas,971-107-257,carlos.rojas@quesos.com
7,Frutas y Verduras Frescas S.L.,Lucía Fernández,915-855-792,lucía.fernández@frutas.com
8,Legumbres Selectas SA,Elena López,974-990-189,elena.lópez@legumbres.com
9,Verduras Orgánicas del Valle,Miguel Torres,953-219-736,miguel.torres@verduras.com
10,Panadería Artesanal Hermanos Ruiz,Miguel Torres,994-567-686,miguel.torres@panadería.com
11,Carnes de la Sierra S.A.U.,Fernando Díaz,930-554-490,fernando.díaz@carnes.com
12,Distribuidora Láctea del Sur S.A.,Lucía Fernández,914-314-272,lucía.fernández@distribuidora.com
13,Legumbres Selectas SA,Pedro Sánchez,980-585-374,pedro.sánchez@legumbres.com
14,Pescados del Norte SL,Fernando Díaz,995-783-320,fernando.díaz@pescados.com
15,Carnes de la Sierra S.A.U.,Javier Gutiérrez,932-920-364,javier.gutiérrez@carnes.com
16,Carnes de la Sierra S.A.U.,Carlos Rojas,981-184-853,carlos.rojas@carnes.com
17,Pescados del Norte SL,Miguel Torres,941-111-889,miguel.torres@pescados.com
18,Legumbres Selectas SA,Fernando Díaz,996-561-544,fernando.díaz@legumbres.com
19,Pescados del Norte SL,Elena López,917-889-997,elena.lópez@pescados.com
20,Frutas y Verduras Frescas S.L.,Miguel Torres,961-197-140,miguel.torres@frutas.com
21,Bebidas Andinas SAC,Pedro Sánchez,939-317-984,pedro.sánchez@bebidas.com
22,Bebidas Andinas SAC,Ana Méndez,978-636-315,ana.méndez@bebidas.com
23,Quesos Manchegos SA,Pedro Sánchez,974-357-696,pedro.sánchez@quesos.com
24,Frutas y Verduras Frescas S.L.,Javier Gutiérrez,999-857-420,javier.gutiérrez@frutas.com
25,Distribuidora Láctea del Sur S.A.,Miguel Torres,988-966-803,miguel.torres@distribuidora.com
26,Bebidas Andinas SAC,Javier Gutiérrez,964-715-469,javier.gutiérrez@bebidas.com
27,Bebidas Andinas SAC,Fernando Díaz,963-372-622,fernando.díaz@bebidas.com
28,Pescados del Norte SL,Elena López,912-714-961,elena.lópez@pescados.com
29,Carnes de la Sierra S.A.U.,Lucía Fernández,919-383-476,lucía.fernández@carnes.com
30,Legumbres Selectas SA,Fernando Díaz,923-988-879,fernando.díaz@legumbres.com
31,Verduras Orgánicas del Valle,Javier Gutiérrez,918-433-272,javier.gutiérrez@verduras.com
32,Frutas y Verduras Frescas S.L.,Lucía Fernández,928-150-764,lucía.fernández@frutas.com
33,Pescados del Norte SL,Patricia Gómez,958-859-997,patricia.gómez@pescados.com
34,Carnes de la Sierra S.A.U.,Miguel Torres,923-897-886,miguel.torres@carnes.com
35,Legumbres Selectas SA,Elena López,917-334-531,elena.lópez@legumbres.com
36,Verduras Orgánicas del Valle,Javier Gutiérrez,951-612-971,javier.gutiérrez@verduras.com
37,Pescados del Norte SL,Fernando Díaz,926-336-285,fernando.díaz@pescados.com
38,Legumbres Selectas SA,Miguel Torres,937-623-374,miguel.torres@legumbres.com
39,Bebidas Andinas SAC,Ana Méndez,967-527-641,ana.méndez@bebidas.com
40,Panadería Artesanal Hermanos Ruiz,Patricia Gómez,959-471-990,patricia.gómez@panadería.com
41,Frutas y Verduras Frescas S.L.,Javier Gutiérrez,995-740-290,javier.gutiérrez@frutas.com
42,Panadería Artesanal Hermanos Ruiz,Miguel Torres,957-986-543,miguel.torres@panadería.com
43,Carnes de la Sierra S.A.U.,Carlos Rojas,951-307-894,carlos.rojas@carnes.com
44,Verduras Orgánicas del Valle,Miguel Torres,942-747-503,miguel.torres@verduras.com
45,Legumbres Selectas SA,Fernando Díaz,978-274-339,fernando.díaz@legumbres.com
46,Legumbres Selectas SA,Patricia Gómez,960-234-780,patricia.gómez@legumbres.com
47,Bebidas Andinas SAC,Pedro Sánchez,917-202-242,pedro.sánchez@bebidas.com
48,Aceites del Mediterráneo SL,Lucía Fernández,966-914-285,lucía.fernández@aceites.com
49,Bebidas Andinas SAC,Lucía Fernández,927-251-847,lucía.fernández@bebidas.com
50,Panadería Artesanal Hermanos Ruiz,Pedro Sánchez,965-523-500,pedro.sánchez@panadería.com
